country_iso3,product_id,year,export_value,rca,pci
KHM,433,1995,41661556.6,0.765,-1.399
KHM,141,1995,65039320.68,3.012,-0.261
KHM,206,1995,20881100.16,2.038,-0.983
KHM,250,1995,37738653.3,2.342,0.431
KHM,307,1995,1281472254.18,1.146,-1.792
KHM,18,1995,30219325.21,0.544,-0.514
KHM,73,1995,21824791.8,2.854,1.199
KHM,373,1995,138993914.37,0.193,1.65
KHM,291,1995,5409555.71,2.919,0.942
KHM,294,1995,739814998.01,0.701,0.775
KHM,487,1995,2462341.14,1.479,1.16
KHM,390,1995,20093104.31,3.019,-0.628
KHM,175,1995,2021142844.73,0.704,-0.083
KHM,7,1995,72036026.11,1.515,0.758
KHM,457,1995,4276377.16,0.83,-0.118
KHM,272,1995,42813736.34,0.52,0.277
KHM,392,1995,23174529.96,0.268,-0.03
KHM,170,1995,6275321.93,0.229,-0.863
KHM,334,1995,12324077.8,2.325,1.772
KHM,465,1995,389674813.87,1.316,-0.916
KHM,360,1995,11125294.02,0.44,-1.431
KHM,269,1995,1913741.33,3.272,-1.237
KHM,65,1995,5402160.41,0.692,0.203
KHM,31,1995,4104087.59,1.611,-1.122
KHM,139,1995,300856968.5,0.942,2.388
KHM,353,1995,35363129.81,0.116,0.714
KHM,79,1995,57184021.03,1.564,1.07
KHM,76,1995,119959096.8,1.188,0.197
KHM,34,1995,16269168.02,0.738,0.543
KHM,349,1995,4534238.58,0.743,-1.293
KHM,379,1995,26332923.22,1.886,-0.105
KHM,297,1995,521867309.6,0.367,0.333
KHM,397,1995,147589891.15,0.833,-0.112
KHM,5,1995,20772535.24,0.777,0.041
KHM,98,1995,32620452.43,0.741,-0.268
KHM,356,1995,14711371.33,0.317,-0.073
KHM,208,1995,10164676.52,0.983,-0.973
KHM,58,1995,536975.97,0.126,0.785
KHM,276,1995,2217788.31,1.486,1.972
KHM,298,1995,3749018.09,0.392,-1.047
KHM,174,1995,4922538.51,2.02,0.622
KHM,386,1995,300205909.48,1.175,0.933
KHM,230,1995,1073453574.04,0.608,0.933
KHM,128,1995,42193712.24,0.65,0.42
KHM,187,1995,13887323.99,0.218,-0.056
KHM,77,1995,10635484.98,0.517,0.093
KHM,452,1995,139378373.92,1.805,1.767
KHM,91,1995,476614040.09,1.012,-0.144
KHM,285,1995,14674255.95,0.395,-0.833
KHM,105,1995,17234802.93,0.945,-0.102
KHM,281,1995,112830094.46,0.032,-0.013
KHM,192,1995,5551298.06,9.113,0.906
KHM,102,1995,24028880.5,0.866,-0.78
KHM,370,1995,18299513.5,3.241,-2.247
KHM,239,1995,125322062.34,0.442,-0.866
KHM,129,1995,343241173.48,3.149,-0.859
KHM,199,1995,2519781.19,0.345,-0.205
KHM,68,1995,39787798.34,2.58,0.315
KHM,260,1995,6878887.6,2.517,-0.038
KHM,286,2005,490006764.84,1.833,0.603
KHM,219,2005,187339370.19,1.629,-0.329
KHM,459,2005,33830296.73,0.56,0.798
KHM,201,2005,21482562.04,0.928,0.257
KHM,15,2005,22255149.92,0.323,1.851
KHM,354,2005,416985.41,0.998,-0.135
KHM,487,2005,150652798.78,0.739,-0.989
KHM,178,2005,9739576.33,1.201,-1.385
KHM,52,2005,316308442.15,1.616,0.181
KHM,208,2005,2673278807.43,0.194,-0.084
KHM,404,2005,36223622.35,0.948,-0.076
KHM,284,2005,1660357191.56,0.802,-0.215
KHM,97,2005,164473065.64,0.498,0.483
KHM,408,2005,23346079.42,0.391,-0.121
KHM,101,2005,38448840.19,0.179,0.072
KHM,169,2005,20086597.87,0.709,-0.23
KHM,166,2005,19884734.62,0.296,1.734
KHM,392,2005,326259311.54,0.284,1.387
KHM,36,2005,12672463.45,4.123,0.488
KHM,249,2005,38361713.91,0.109,-0.219
KHM,458,2005,486981495.63,1.243,-0.34
KHM,297,2005,26443133.98,0.396,-2.055
KHM,437,2005,7805826.94,0.061,-1.021
KHM,439,2005,8617086.45,0.383,0.562
KHM,192,2005,44912081.34,3.815,0.128
KHM,98,2005,315491142.29,0.131,-1.072
KHM,268,2005,18228073.99,0.895,0.15
KHM,355,2005,576313245.05,1.472,0.09
KHM,417,2005,436180856.36,0.631,0.412
KHM,242,2005,360285997.03,0.256,0.5
KHM,293,2005,333460745.22,1.669,0.768
KHM,349,2005,11358714.62,4.769,-1.141
KHM,285,2005,10834571.45,0.556,0.579
KHM,68,2005,6311116.81,0.533,1.473
KHM,218,2005,35575745.76,1.552,0.44
KHM,224,2005,24492659.51,2.606,0.738
KHM,128,2005,655533981.06,0.849,-0.155
KHM,255,2005,1176282130.37,1.148,-1.599
KHM,476,2005,2003409.21,0.596,-0.143
KHM,71,2005,2556518.0,0.456,-0.452
KHM,102,2005,308960636.0,0.891,-0.229
KHM,9,2005,41759105.1,1.859,0.881
KHM,335,2005,8851698772.19,1.098,-1.042
KHM,40,2005,637832853.23,1.362,-0.845
KHM,83,2005,111041823.33,1.671,-0.525
KHM,212,2005,296238488.96,1.086,1.393
KHM,466,2005,77159174.29,0.226,-0.016
KHM,261,2005,93871271.54,0.175,-0.339
KHM,382,2005,277743932.96,1.77,1.472
KHM,139,2005,1335569925.83,0.938,0.945
KHM,478,2005,96826217.31,1.103,-0.564
KHM,115,2005,836874.83,0.315,-0.05
KHM,352,2005,485700847.9,1.15,0.491
KHM,310,2005,24595482.52,1.166,1.915
KHM,193,2005,824634746.97,0.226,0.468
KHM,471,2005,24826471.73,2.018,0.634
KHM,175,2005,7476630.13,3.977,0.165
KHM,358,2005,121104363.26,0.703,-0.224
KHM,180,2005,47856317.1,1.211,0.151
KHM,116,2005,127225356.8,1.99,1.962
KHM,361,2015,270271664.77,14.268,-0.371
KHM,335,2015,4769611.91,0.765,-0.354
KHM,218,2015,6809652746.66,0.755,-0.087
KHM,214,2015,2081849307.34,4.395,-1.184
KHM,134,2015,101728400.48,2.605,0.638
KHM,172,2015,109150033.16,3.156,-0.503
KHM,187,2015,17235008.42,5.021,-1.099
KHM,425,2015,11835004.02,0.6,-0.347
KHM,231,2015,72142816.04,3.349,-0.786
KHM,29,2015,8091014.74,0.06,1.438
KHM,169,2015,14553782.9,0.373,1.517
KHM,403,2015,284007.45,4.165,0.279
KHM,276,2015,29915297.46,3.08,-1.055
KHM,174,2015,316495580.89,1.035,-0.376
KHM,321,2015,299629742.19,3.974,1.86
KHM,488,2015,123969270.09,1.136,-2.023
KHM,25,2015,11972974.69,0.397,-0.075
KHM,186,2015,30466460.29,0.707,0.372
KHM,333,2015,484645464.89,2.687,0.207
KHM,159,2015,1700505093.93,0.136,0.08
KHM,133,2015,12232872.42,0.648,-0.475
KHM,362,2015,792165031.94,0.427,0.183
KHM,127,2015,5475131829.89,0.941,-0.021
KHM,457,2015,26885183.4,1.088,0.569
KHM,256,2015,3427273.19,0.342,-0.146
KHM,215,2015,8895211.76,1.479,-0.463
KHM,354,2015,86192157.87,0.884,0.155
KHM,67,2015,805619150.54,12.238,-1.063
KHM,55,2015,178765299.71,1.48,1.051
KHM,199,2015,176331179.34,3.116,-0.193
KHM,336,2015,834300.55,0.908,1.657
KHM,224,2015,60319889.34,1.627,-0.225
KHM,180,2015,68787081.68,3.508,-1.32
KHM,417,2015,227385022.04,2.157,1.553
KHM,233,2015,44823643.64,3.45,-0.968
KHM,39,2015,138940943.82,0.752,0.782
KHM,452,2015,46913675.71,0.271,-0.831
KHM,21,2015,1680952.4,14.617,1.444
KHM,219,2015,25674822.86,1.551,-0.71
KHM,128,2015,32155547.53,2.365,0.793
KHM,254,2015,7615026.68,1.566,-0.655
KHM,168,2015,56906030.1,0.584,0.93
KHM,194,2015,89452973.43,0.8,0.383
KHM,53,2015,76823978.92,1.063,-0.192
KHM,464,2015,39771803.72,0.666,-0.234
KHM,46,2015,50935787.3,2.704,0.118
KHM,330,2015,73356254.79,0.518,0.236
KHM,162,2015,46387855.56,0.191,0.445
KHM,391,2015,66992759.33,0.743,2.285
KHM,163,2015,592336150.65,0.372,0.7
KHM,229,2015,9764678.46,5.5,1.057
KHM,459,2015,347517589.52,2.202,-1.513
KHM,287,2015,21869489.13,1.452,0.929
KHM,94,2015,1118743.97,0.671,0.279
KHM,270,2015,889404.74,0.86,-0.251
KHM,175,2015,529668569.85,0.257,0.398
KHM,306,2015,10366591.59,0.309,-0.493
KHM,476,2015,161189104.34,1.115,0.245
KHM,365,2015,1145789379.69,0.645,1.143
KHM,166,2015,2272184.91,0.336,0.823
KHM,172,2023,75030251.43,1.075,-0.952
KHM,456,2023,82110945.24,1.861,-1.243
KHM,62,2023,20210211.04,0.745,-0.444
KHM,171,2023,55314043.76,0.908,-1.062
KHM,392,2023,8615001.37,1.747,-1.394
KHM,356,2023,32295205.69,0.344,-0.033
KHM,294,2023,2148158.09,2.254,0.191
KHM,237,2023,423280.15,0.549,-1.366
KHM,208,2023,57973330.9,1.756,1.443
KHM,241,2023,166419147.79,1.205,0.093
KHM,92,2023,25343552.05,1.392,-0.116
KHM,169,2023,100587637.77,0.269,0.136
KHM,358,2023,114230824.17,4.801,-0.924
KHM,399,2023,28186038.35,2.214,0.08
KHM,280,2023,17205158.47,5.486,-0.128
KHM,464,2023,11276706.21,1.247,-0.145
KHM,90,2023,779900175.02,0.332,-0.209
KHM,193,2023,181503064.93,0.399,1.137
KHM,110,2023,55463782.45,3.454,0.663
KHM,364,2023,1014802603.75,2.474,-1.067
KHM,415,2023,6973237.22,0.979,-0.726
KHM,131,2023,1332856.54,4.578,-0.745
KHM,147,2023,4165773.05,9.294,0.332
KHM,261,2023,352408777.7,0.808,0.755
KHM,262,2023,184231181.57,0.172,0.506
KHM,187,2023,8900441.79,1.05,-0.542
KHM,140,2023,62366354.17,1.117,0.801
KHM,342,2023,18081076.12,0.193,-0.018
KHM,319,2023,88032231.23,0.155,-1.124
KHM,96,2023,29464756.07,3.664,2.024
KHM,60,2023,54732124.89,0.987,0.853
KHM,281,2023,110953851.12,0.108,0.201
KHM,484,2023,147708345.38,2.379,-0.59
KHM,303,2023,84662313.25,1.149,0.087
KHM,300,2023,19702861.15,0.431,-2.323
KHM,462,2023,107552733.13,0.336,-1.133
KHM,215,2023,162912670.69,0.534,0.264
KHM,225,2023,352611589.1,1.851,0.56
KHM,269,2023,19147876.6,0.686,-2.087
KHM,323,2023,10070628.03,0.902,0.626
KHM,174,2023,45198806.15,2.319,0.732
KHM,31,2023,58513437.14,0.553,-0.431
KHM,451,2023,5394699.15,8.571,-0.736
KHM,64,2023,18079867.42,0.343,1.517
KHM,102,2023,138348917.21,1.872,-0.431
KHM,46,2023,212334292.8,0.394,0.252
KHM,252,2023,120215817.98,0.441,-0.084
KHM,266,2023,33166125.18,1.072,-1.849
KHM,120,2023,13493912.07,3.376,0.671
KHM,12,2023,5521636.69,0.53,-1.146
KHM,255,2023,37199006.45,0.675,-0.035
KHM,311,2023,148813830.09,0.507,-0.032
KHM,177,2023,18095448.41,0.704,1.323
KHM,206,2023,39675613.4,1.381,-0.284
KHM,446,2023,24083492.19,0.324,0.762
KHM,78,2023,22350091.03,0.531,-0.849
KHM,24,2023,19041163.93,0.558,0.038
KHM,416,2023,55964683.84,1.16,0.778
KHM,426,2023,482177156.12,3.361,2.703
KHM,413,2023,312651935.4,0.285,-0.198
IDN,349,1995,480428143.7,1.285,0.568
IDN,220,1995,17132816.87,0.531,-0.777
IDN,261,1995,16919233.63,0.372,-0.714
IDN,212,1995,22822179.91,0.252,-1.354
IDN,150,1995,48523232.53,0.612,0.06
IDN,79,1995,15667757.12,1.742,0.913
IDN,354,1995,73200208.74,3.522,-0.114
IDN,255,1995,108630548.3,0.215,-0.172
IDN,341,1995,203254670.06,4.628,-0.967
IDN,301,1995,39146091.22,1.359,0.006
IDN,172,1995,165286766.18,0.506,0.696
IDN,145,1995,139167514.07,0.328,0.528
IDN,218,1995,402274.05,1.613,1.457
IDN,60,1995,148224812.06,0.426,-0.919
IDN,138,1995,176318857.66,0.214,1.485
IDN,71,1995,39905227.8,0.274,-0.209
IDN,350,1995,28434800.39,0.126,-0.285
IDN,411,1995,213757397.28,0.184,2.724
IDN,353,1995,6924104.35,2.413,0.696
IDN,269,1995,337071073.0,1.074,-0.029
IDN,316,1995,9762634.89,0.626,0.037
IDN,367,1995,344635830.89,0.404,2.561
IDN,347,1995,16822998.65,17.824,1.705
IDN,319,1995,41730727.27,0.311,0.412
IDN,477,1995,74164034.99,1.67,-0.646
IDN,482,1995,949979.78,0.154,-0.824
IDN,483,1995,25906855.1,0.671,-0.588
IDN,340,1995,434270407.68,0.667,-1.29
IDN,224,1995,779371095.27,2.271,0.903
IDN,380,1995,226248759.77,0.859,0.509
IDN,154,1995,7306394.74,3.488,0.295
IDN,17,1995,102595887.28,0.863,0.981
IDN,422,1995,53805595.36,3.306,-0.179
IDN,305,1995,802064629.13,0.894,-1.724
IDN,439,1995,10554583.05,0.269,2.034
IDN,207,1995,5683854.24,4.702,0.85
IDN,174,1995,30620693.14,1.124,-0.025
IDN,321,1995,3757969.66,4.731,-1.251
IDN,452,1995,17677303.94,0.271,0.294
IDN,390,1995,27676191.68,4.301,0.887
IDN,86,1995,228448322.44,0.827,1.151
IDN,158,1995,38529597.61,0.299,0.66
IDN,239,1995,27853860.01,0.354,-0.481
IDN,211,1995,99650196.5,2.71,0.74
IDN,23,1995,9932393.72,0.672,-0.684
IDN,459,1995,98904453.94,1.4,0.372
IDN,419,1995,3066479.74,0.422,0.06
IDN,46,1995,120422155.14,0.066,0.447
IDN,115,1995,2941393.01,17.245,-2.406
IDN,402,1995,143756582.61,0.216,-1.264
IDN,243,1995,308050834.98,9.675,-0.656
IDN,293,1995,4252458.57,1.956,-0.55
IDN,379,1995,14993724.38,0.387,-0.19
IDN,385,1995,8042297.42,1.305,-1.687
IDN,450,1995,311862971.73,0.895,1.562
IDN,188,1995,271194506.85,2.457,-1.934
IDN,73,1995,4233631.0,1.154,1.995
IDN,144,1995,34154258.58,0.624,-1.085
IDN,169,1995,7956681.81,0.385,0.721
IDN,282,1995,3404076.52,0.386,-0.263
IDN,476,2005,23787709.34,0.305,-0.833
IDN,135,2005,158325996.18,3.095,-0.144
IDN,315,2005,159845200.71,0.331,-0.325
IDN,405,2005,394515962.03,1.637,2.209
IDN,74,2005,11264535.98,0.914,-0.558
IDN,175,2005,3406315002.46,2.049,1.298
IDN,194,2005,335280523.94,2.181,-1.446
IDN,215,2005,12359911.07,1.284,1.612
IDN,70,2005,1058590189.42,1.233,2.227
IDN,134,2005,20995819.2,0.523,1.158
IDN,187,2005,9509780.12,0.507,-0.063
IDN,361,2005,541086508.96,0.746,-0.495
IDN,360,2005,33971450.46,0.157,-0.822
IDN,251,2005,502687456.52,0.722,0.41
IDN,132,2005,458030.04,2.063,0.26
IDN,484,2005,27427047.46,2.97,-0.182
IDN,333,2005,5330602.24,0.783,-0.636
IDN,91,2005,104941533.28,1.094,-1.698
IDN,348,2005,7971837.73,1.287,-0.032
IDN,270,2005,63681023.53,0.462,-0.061
IDN,245,2005,462840414.2,0.578,-0.976
IDN,267,2005,4568511.43,1.052,1.03
IDN,417,2005,22593537.04,1.544,-0.314
IDN,5,2005,15302084.74,0.524,-0.12
IDN,152,2005,1859377.77,1.073,1.719
IDN,374,2005,235298015.87,1.905,-0.266
IDN,383,2005,1898398.84,2.075,1.019
IDN,62,2005,228361420.89,0.777,-1.377
IDN,423,2005,13739892.34,2.289,-0.901
IDN,465,2005,39967908.1,0.276,-1.013
IDN,447,2005,4314481.22,3.498,1.804
IDN,410,2005,166324583.0,1.322,0.399
IDN,145,2005,1314659565.41,1.187,-0.269
IDN,300,2005,20454983.88,0.974,0.803
IDN,321,2005,57581009.86,1.105,0.994
IDN,146,2005,430738305.41,0.287,0.817
IDN,252,2005,425483343.52,1.741,0.055
IDN,88,2005,907011942.97,0.615,-1.009
IDN,373,2005,38763729.62,1.21,1.084
IDN,109,2005,136249744.99,0.221,0.43
IDN,266,2005,6529982.86,0.616,-0.215
IDN,46,2005,3144023.69,1.764,0.186
IDN,335,2005,326535745.76,1.719,1.066
IDN,133,2005,10235040848.05,1.485,2.339
IDN,425,2005,39583167.78,0.57,-1.371
IDN,121,2005,245128980.85,0.305,0.843
IDN,114,2005,3214377178.4,0.38,1.252
IDN,489,2005,50616516.32,0.142,-0.79
IDN,466,2005,2335689.03,2.692,-0.01
IDN,117,2005,231008.8,2.963,0.66
IDN,328,2005,2003562498.75,3.603,-1.652
IDN,264,2005,106202481.1,0.662,-1.935
IDN,49,2005,31342698.26,1.555,-0.527
