source_iso3,target_iso3,year,export_value,import_value,log_value,above_threshold
KHM,FRA,1995,69896173.95,66466800.99,7.8445,FALSE
KHM,BRA,1995,1042639240.88,1268891820.84,9.0181,FALSE
KHM,ZAF,1995,34192168.38,35073620.08,7.5339,FALSE
KHM,RUS,1995,75408143.23,65264580.56,7.8774,FALSE
KHM,CAN,1995,79931819.15,93565856.83,7.9027,FALSE
KHM,NLD,1995,44693768.5,42837614.29,7.6502,FALSE
KHM,ESP,1995,61200932.07,60609139.84,7.7868,FALSE
KHM,BGD,1995,496503278.1,481794535.45,8.6959,FALSE
KHM,CHL,1995,16430400.97,17576144.89,7.2156,FALSE
KHM,ARG,1995,367767747.26,357228934.69,8.5656,FALSE
IDN,KHM,1995,1802878027.71,1558457393.46,9.256,FALSE
IDN,SGP,1995,868620162.31,805237671.66,8.9388,FALSE
IDN,VNM,1995,5161192637.52,5561736877.1,9.7128,FALSE
IDN,USA,1995,771176300.85,944483283.51,8.8872,FALSE
IDN,JPN,1995,696221858.64,742523315.83,8.8427,FALSE
IDN,KOR,1995,370422514.52,380867876.19,8.5687,FALSE
IDN,DEU,1995,498492392.45,543297278.88,8.6977,FALSE
IDN,IND,1995,465142451.79,406350483.66,8.6676,FALSE
IDN,RUS,1995,400525663.32,341448731.56,8.6026,FALSE
IDN,MEX,1995,370013900.34,397845494.79,8.5682,FALSE
IDN,ITA,1995,392624040.58,344391705.23,8.594,FALSE
IDN,ESP,1995,469408610.81,502035441.56,8.6716,FALSE
IDN,TUR,1995,125927205.24,144108612.76,8.1001,FALSE
IDN,PAK,1995,4499440910.17,4672602505.54,9.6532,FALSE
IDN,CHL,1995,3500640.95,4008126.31,6.5441,FALSE
LAO,BRN,1995,62836167.92,78456074.77,7.7982,FALSE
LAO,KHM,1995,151170256.77,166903890.27,8.1795,FALSE
LAO,MMR,1995,31392413.22,36363149.34,7.4968,FALSE
LAO,PHL,1995,459629388.08,455751836.41,8.6624,FALSE
LAO,SGP,1995,4133710.11,3720750.82,6.6163,FALSE
LAO,VNM,1995,366130629.07,425821241.35,8.5636,FALSE
LAO,CHN,1995,173431700.61,150800246.74,8.2391,FALSE
LAO,USA,1995,4610706847.49,4250693031.74,9.6638,FALSE
LAO,JPN,1995,32346606.92,39299685.9,7.5098,FALSE
LAO,DEU,1995,91228980.29,78272072.93,7.9601,FALSE
LAO,TWN,1995,135890690.78,150125900.12,8.1332,FALSE
LAO,BRA,1995,254311062.54,261754186.99,8.4054,FALSE
LAO,ZAF,1995,30070802.13,32999131.7,7.4781,FALSE
LAO,RUS,1995,1064811814.16,950866586.92,9.0273,FALSE
LAO,NLD,1995,3490238655.18,3028729137.9,9.5429,FALSE
LAO,ITA,1995,18483442.12,15876818.53,7.2668,FALSE
LAO,ESP,1995,205280122.24,249408303.2,8.3123,FALSE
LAO,TUR,1995,905038283.43,823741846.4,8.9567,FALSE
LAO,SAU,1995,26608543.01,24227582.85,7.425,FALSE
LAO,ARE,1995,386029909.58,334891027.98,8.5866,FALSE
LAO,BGD,1995,472236136.85,447889044.22,8.6742,FALSE
LAO,PAK,1995,98660334.44,102681644.04,7.9941,FALSE
LAO,ARG,1995,85413445.94,74091272.5,7.9315,FALSE
MYS,BRN,1995,76567353.63,69987772.56,7.884,FALSE
MYS,SGP,1995,250109029.06,312198944.02,8.3981,FALSE
MYS,THA,1995,927259188.69,1105982867.01,8.9672,FALSE
MYS,VNM,1995,42590898.8,41865989.8,7.6293,FALSE
MYS,USA,1995,252558989.7,257630672.75,8.4024,FALSE
MYS,JPN,1995,487672667.24,470609200.14,8.6881,FALSE
MYS,KOR,1995,507426410.38,457880782.33,8.7054,FALSE
MYS,DEU,1995,119048745.22,142093609.53,8.0757,FALSE
MYS,HKG,1995,650930140.26,812282692.73,8.8135,FALSE
MYS,GBR,1995,25749416.8,29606822.0,7.4108,FALSE
MYS,AUS,1995,2427578293.51,2130033209.73,9.3852,FALSE
MYS,BRA,1995,12236022176.09,12710956392.42,10.0876,TRUE
MYS,MEX,1995,28011256.01,28251247.48,7.4473,FALSE
MYS,NLD,1995,16267993.79,19303051.63,7.2113,FALSE
MYS,ITA,1995,4798432.29,5961112.67,6.6811,FALSE
MYS,ESP,1995,982666452.51,1075702306.8,8.9924,FALSE
MYS,SAU,1995,509762321.4,596102932.68,8.7074,FALSE
MYS,ARE,1995,40093731.54,39697532.59,7.6031,FALSE
MYS,BGD,1995,1452769899.0,1333385531.78,9.1622,FALSE
MYS,PAK,1995,136597066.64,138461360.29,8.1354,FALSE
MYS,ARG,1995,3211260.86,2846697.03,6.5067,FALSE
MMR,KHM,1995,1008183448.67,901945862.06,9.0035,FALSE
MMR,IDN,1995,413563942.62,423938790.98,8.6165,FALSE
MMR,LAO,1995,467183481.86,525754913.16,8.6695,FALSE
MMR,MYS,1995,34901585.54,37251616.86,7.5428,FALSE
MMR,PHL,1995,2004538469.27,2051720384.26,9.302,FALSE
MMR,THA,1995,9049173.99,10525651.86,6.9566,FALSE
MMR,VNM,1995,930726473.73,1093255278.24,8.9688,FALSE
MMR,CHN,1995,588461321.36,615016137.72,8.7697,FALSE
MMR,USA,1995,304940677.38,264503054.1,8.4842,FALSE
MMR,JPN,1995,159886000.6,195286997.07,8.2038,FALSE
MMR,KOR,1995,331090486.87,382048485.06,8.5199,FALSE
MMR,DEU,1995,1621704454.08,1548842884.35,9.21,FALSE
MMR,TWN,1995,58894254.42,67861778.8,7.7701,FALSE
MMR,FRA,1995,1742662419.03,1685538908.82,9.2412,FALSE
MMR,GBR,1995,583021707.0,626093565.51,8.7657,FALSE
MMR,RUS,1995,115986791.37,139243347.03,8.0644,FALSE
MMR,CAN,1995,33383651.85,33752934.06,7.5235,FALSE
MMR,ARE,1995,4040908690.37,3570839491.16,9.6065,FALSE
MMR,NGA,1995,6115977851.46,5896734273.57,9.7865,FALSE
MMR,EGY,1995,6516268166.63,5861815179.18,9.814,FALSE
MMR,CHL,1995,279248604.58,339130662.25,8.446,FALSE
PHL,KHM,1995,47413145.94,43496324.96,7.6759,FALSE
PHL,IDN,1995,541149640.14,653070381.25,8.7333,FALSE
PHL,LAO,1995,325490025.61,342419730.3,8.5125,FALSE
PHL,MYS,1995,1841220080.5,1669808680.07,9.2651,FALSE
PHL,MMR,1995,452491921.49,528807217.09,8.6556,FALSE
PHL,SGP,1995,1372389306.14,1495312239.55,9.1375,FALSE
PHL,THA,1995,1352563575.32,1390568712.57,9.1312,FALSE
PHL,VNM,1995,2991940884.19,2803017344.7,9.476,FALSE
PHL,USA,1995,9897902016.03,10540620754.72,9.9955,FALSE
PHL,HKG,1995,77228256.59,65895347.18,7.8878,FALSE
PHL,GBR,1995,22629902.46,26228188.14,7.3547,FALSE
PHL,ZAF,1995,59606725.84,70123715.48,7.7753,FALSE
PHL,RUS,1995,329303086.47,325002313.54,8.5176,FALSE
PHL,MEX,1995,106859359.9,122715272.29,8.0288,FALSE
PHL,CAN,1995,77466744.93,74290889.72,7.8891,FALSE
PHL,ITA,1995,59498516.99,74322864.33,7.7745,FALSE
PHL,ESP,1995,1106486562.63,1058173390.27,9.0439,FALSE
PHL,TUR,1995,3784303871.18,4386839815.62,9.578,FALSE
PHL,SAU,1995,290356533.65,347101243.52,8.4629,FALSE
PHL,ARE,1995,306503667.51,358953607.93,8.4864,FALSE
PHL,BGD,1995,47226514.22,45916747.99,7.6742,FALSE
PHL,NGA,1995,1014769849.86,1111033775.16,9.0064,FALSE
PHL,EGY,1995,71191980.06,74150072.7,7.8524,FALSE
SGP,KHM,1995,32529445.32,32559264.26,7.5123,FALSE
SGP,LAO,1995,155907803.11,145928837.11,8.1929,FALSE
SGP,MYS,1995,801717289.34,917695330.33,8.904,FALSE
SGP,MMR,1995,282255657.88,259423340.95,8.4506,FALSE
SGP,PHL,1995,427317863.16,521516242.53,8.6308,FALSE
SGP,THA,1995,260623567.57,267377981.76,8.416,FALSE
SGP,VNM,1995,202572893.2,174540082.76,8.3066,FALSE
SGP,CHN,1995,160542047.34,177282017.11,8.2056,FALSE
SGP,USA,1995,1638973455.74,1896172653.65,9.2146,FALSE
SGP,JPN,1995,369934625.1,346744142.46,8.5681,FALSE
SGP,KOR,1995,93602515.59,83379178.7,7.9713,FALSE
SGP,DEU,1995,560518382.36,521253509.19,8.7486,FALSE
SGP,HKG,1995,578136548.69,532245965.42,8.762,FALSE
SGP,TWN,1995,41673096.92,45592687.45,7.6199,FALSE
SGP,FRA,1995,81579515.94,83541202.88,7.9116,FALSE
SGP,GBR,1995,474200571.31,512147696.03,8.676,FALSE
SGP,AUS,1995,141193856.04,161083436.68,8.1498,FALSE
SGP,ZAF,1995,281276863.8,284293317.75,8.4491,FALSE
SGP,RUS,1995,53956565.5,48538437.04,7.732,FALSE
SGP,NLD,1995,47919699.67,58370577.43,7.6805,FALSE
SGP,ITA,1995,130991189.0,160151655.66,8.1172,FALSE
SGP,ESP,1995,2227577461.71,2413135532.44,9.3478,FALSE
SGP,TUR,1995,172959265.57,172709408.28,8.2379,FALSE
SGP,SAU,1995,4727280995.92,4517506831.71,9.6746,FALSE
SGP,BGD,1995,3927897384.26,4075825292.0,9.5942,FALSE
SGP,PAK,1995,49006804.88,58636209.14,7.6903,FALSE
SGP,NGA,1995,7427953344.89,8472350937.5,9.8709,FALSE
SGP,CHL,1995,66299361.41,64990818.1,7.8215,FALSE
THA,BRN,1995,36701477.43,39211478.96,7.5647,FALSE
THA,KHM,1995,42920934.43,50486872.75,7.6327,FALSE
THA,LAO,1995,288420890.75,333508748.22,8.46,FALSE
THA,MMR,1995,70055449.82,79987455.52,7.8454,FALSE
THA,PHL,1995,256308139.62,291061555.56,8.4088,FALSE
THA,SGP,1995,1144549971.92,1230571997.28,9.0586,FALSE
THA,CHN,1995,389805008.3,392358917.09,8.5908,FALSE
THA,USA,1995,72020386.51,71224546.65,7.8575,FALSE
THA,IND,1995,1150432670.88,1123513203.49,9.0609,FALSE
THA,TWN,1995,5570762.81,5573942.19,6.7459,FALSE
THA,FRA,1995,811800997.66,1008593540.23,8.9094,FALSE
THA,GBR,1995,131127610.01,137178214.03,8.1177,FALSE
THA,ZAF,1995,748506103.1,889219003.24,8.8742,FALSE
THA,MEX,1995,1293253638.99,1317053767.44,9.1117,FALSE
THA,CAN,1995,1240175222.75,1348644693.66,9.0935,FALSE
THA,ESP,1995,65840805.5,59519859.01,7.8185,FALSE
THA,PAK,1995,75139461.09,84656742.15,7.8759,FALSE
THA,CHL,1995,1102800728.02,1086005002.58,9.0425,FALSE
THA,ARG,1995,170040983.08,152501603.06,8.2306,FALSE
VNM,BRN,1995,332197554.47,379112088.62,8.5214,FALSE
VNM,KHM,1995,3487306.34,3689535.32,6.5425,FALSE
VNM,IDN,1995,101430324.34,89834156.91,8.0062,FALSE
VNM,MMR,1995,202545449.65,185871751.32,8.3065,FALSE
VNM,PHL,1995,469613208.55,464760782.18,8.6717,FALSE
VNM,SGP,1995,1255644420.47,1202417350.54,9.0989,FALSE
VNM,THA,1995,71068898.2,65829850.73,7.8517,FALSE
VNM,CHN,1995,61801826.89,66262274.12,7.791,FALSE
VNM,USA,1995,477460956.7,418847749.3,8.6789,FALSE
VNM,JPN,1995,31839567.84,29985440.82,7.503,FALSE
VNM,KOR,1995,97847733.33,116467081.79,7.9906,FALSE
VNM,HKG,1995,7941385892.49,8275808078.09,9.8999,FALSE
VNM,TWN,1995,2365485872.05,2388211072.72,9.3739,FALSE
VNM,FRA,1995,27337541.41,33815229.87,7.4368,FALSE
VNM,GBR,1995,40814675.77,46828018.45,7.6108,FALSE
VNM,AUS,1995,212566927.14,241188922.33,8.3275,FALSE
VNM,MEX,1995,41818535.5,38528626.18,7.6214,FALSE
VNM,NLD,1995,197334273.6,175972819.18,8.2952,FALSE
VNM,ITA,1995,404794261.97,351802726.52,8.6072,FALSE
VNM,PAK,1995,204949353.01,196883791.5,8.3116,FALSE
VNM,EGY,1995,74153430.34,68726935.46,7.8701,FALSE
VNM,ARG,1995,57312103.39,50008215.4,7.7582,FALSE
CHN,KHM,1995,204995024.98,199702514.99,8.3117,FALSE
CHN,MYS,1995,85404780.69,99796362.93,7.9315,FALSE
CHN,MMR,1995,126914922.95,138022297.15,8.1035,FALSE
CHN,PHL,1995,35969137.2,31775190.35,7.5559,FALSE
CHN,SGP,1995,3130833429.61,2889526127.2,9.4957,FALSE
CHN,VNM,1995,118642831.23,106854529.84,8.0742,FALSE
CHN,KOR,1995,333135335.49,353161352.59,8.5226,FALSE
CHN,GBR,1995,469046397.81,449893327.35,8.6712,FALSE
CHN,AUS,1995,138212709.16,151823098.75,8.1405,FALSE
CHN,BRA,1995,928875806.98,861344688.64,8.968,FALSE
CHN,ZAF,1995,332444649.65,304474169.83,8.5217,FALSE
CHN,MEX,1995,710592.48,877620.54,5.8516,FALSE
CHN,ITA,1995,80580593.91,91484998.85,7.9062,FALSE
CHN,ESP,1995,186939401.6,187813295.31,8.2717,FALSE
CHN,ARE,1995,219274602.46,222062382.62,8.341,FALSE
CHN,PAK,1995,1453353186.32,1745103586.19,9.1624,FALSE
CHN,ARG,1995,612827752.06,646481223.16,8.7873,FALSE
USA,KHM,1995,282059983.81,334179972.49,8.4503,FALSE
USA,IDN,1995,66255116.63,64845529.39,7.8212,FALSE
USA,LAO,1995,548482736.76,521122411.9,8.7392,FALSE
USA,MYS,1995,231160032.59,288400981.33,8.3639,FALSE
USA,MMR,1995,90654839.66,99359459.35,7.9574,FALSE
USA,SGP,1995,271439831.77,274732549.8,8.4337,FALSE
USA,CHN,1995,11466352.74,9916606.86,7.0594,FALSE
USA,JPN,1995,813318960.6,994312809.6,8.9103,FALSE
USA,KOR,1995,1150970065.12,1292097329.54,9.0611,FALSE
USA,HKG,1995,18565831.5,17133845.77,7.2687,FALSE
USA,TWN,1995,284702510.21,246476245.31,8.4544,FALSE
USA,FRA,1995,37313535.97,35035473.03,7.5719,FALSE
USA,AUS,1995,809083534.25,908002197.98,8.908,FALSE
USA,BRA,1995,10426651.42,12632358.89,7.0181,FALSE
USA,MEX,1995,51384460.13,43742185.14,7.7108,FALSE
USA,ITA,1995,159521151.18,173950815.36,8.2028,FALSE
USA,ESP,1995,30703212.57,37053935.42,7.4872,FALSE
USA,TUR,1995,6269853128.56,7453942715.72,9.7973,FALSE
USA,SAU,1995,288928624.02,304028995.38,8.4608,FALSE
USA,PAK,1995,35774538.62,33855449.73,7.5536,FALSE
USA,NGA,1995,506306595.84,608048889.04,8.7044,FALSE
USA,EGY,1995,528963593.91,474117114.05,8.7234,FALSE
USA,ARG,1995,173089925.92,156546561.15,8.2383,FALSE
JPN,IDN,1995,3400065290.9,2941560721.81,9.5315,FALSE
JPN,LAO,1995,703312972.5,637578399.82,8.8471,FALSE
JPN,MMR,1995,328935026.65,285649042.57,8.5171,FALSE
JPN,PHL,1995,133319124.44,158821869.56,8.1249,FALSE
JPN,SGP,1995,441873859.97,407076038.48,8.6453,FALSE
JPN,DEU,1995,150046492.61,150605615.53,8.1762,FALSE
JPN,IND,1995,72950146.33,73520840.41,7.863,FALSE
JPN,TWN,1995,193681728.14,184723178.6,8.2871,FALSE
JPN,FRA,1995,597779620.27,605876224.14,8.7765,FALSE
JPN,CAN,1995,14376959.19,15324385.8,7.1577,FALSE
JPN,NLD,1995,406805539.13,386524371.08,8.6094,FALSE
JPN,ITA,1995,1138632372.14,1198789796.94,9.0564,FALSE
JPN,SAU,1995,211276946.92,204420836.63,8.3249,FALSE
JPN,ARE,1995,88071460.56,100351894.68,7.9448,FALSE
JPN,PAK,1995,770379112.77,868463270.34,8.8867,FALSE
JPN,NGA,1995,1009808929.96,1261334015.74,9.0042,FALSE
JPN,EGY,1995,41297307.05,44105246.59,7.6159,FALSE
KOR,BRN,1995,4177037.67,3801783.0,6.6209,FALSE
KOR,KHM,1995,1190035052.31,1306859170.45,9.0756,FALSE
KOR,LAO,1995,159558938.6,185566279.72,8.2029,FALSE
KOR,MMR,1995,15457506.88,14112660.55,7.1891,FALSE
KOR,PHL,1995,1871227956.73,1978876634.47,9.2721,FALSE
KOR,SGP,1995,512815178.74,526531410.53,8.71,FALSE
KOR,THA,1995,395973752.95,378517056.72,8.5977,FALSE
KOR,IND,1995,367651184.04,446304743.8,8.5654,FALSE
KOR,HKG,1995,406286694.49,353347463.22,8.6088,FALSE
KOR,FRA,1995,3623146189.85,3490756713.33,9.5591,FALSE
KOR,GBR,1995,711977716.69,672999526.8,8.8525,FALSE
KOR,AUS,1995,264010564.2,267405433.69,8.4216,FALSE
KOR,NLD,1995,10907260.79,12237804.27,7.0377,FALSE
KOR,ITA,1995,134020159.65,125388136.64,8.1272,FALSE
KOR,ESP,1995,276741965.29,311003677.71,8.4421,FALSE
KOR,TUR,1995,577471470.01,707733961.79,8.7615,FALSE
KOR,SAU,1995,591323524.61,543175010.6,8.7718,FALSE
KOR,ARE,1995,222125108.28,258257394.99,8.3466,FALSE
KOR,PAK,1995,205036560.47,249032585.22,8.3118,FALSE
KOR,EGY,1995,131960418.47,164714228.58,8.1204,FALSE
KOR,CHL,1995,443275630.0,434736306.36,8.6467,FALSE
DEU,IDN,1995,797271873.8,859676466.0,8.9016,FALSE
DEU,LAO,1995,393884549.74,442340400.53,8.5954,FALSE
DEU,MMR,1995,103737965.52,104766017.49,8.0159,FALSE
DEU,THA,1995,60439415.54,65201721.8,7.7813,FALSE
DEU,VNM,1995,186295883.53,181558233.3,8.2702,FALSE
DEU,USA,1995,1046499314.37,1212500868.74,9.0197,FALSE
DEU,KOR,1995,1694881311.05,1808769226.15,9.2291,FALSE
DEU,IND,1995,129482638.49,115095169.32,8.1122,FALSE
DEU,TWN,1995,58970527.4,66501992.13,7.7706,FALSE
DEU,GBR,1995,32970109.45,40431814.98,7.5181,FALSE
DEU,AUS,1995,181141301.98,191846841.59,8.258,FALSE
DEU,BRA,1995,53219707.25,55280018.77,7.7261,FALSE
DEU,RUS,1995,134094363.81,120538653.95,8.1274,FALSE
DEU,NLD,1995,34775605.08,30533502.19,7.5413,FALSE
DEU,ITA,1995,959102161.69,895431060.53,8.9819,FALSE
DEU,ESP,1995,1364284804.39,1659676704.51,9.1349,FALSE
DEU,BGD,1995,1347927800.28,1566061193.08,9.1297,FALSE
DEU,PAK,1995,56343598.9,50350307.56,7.7508,FALSE
DEU,NGA,1995,2778511697.93,2831779530.38,9.4438,FALSE
DEU,ARG,1995,16581706576.36,16233453913.14,10.2196,TRUE
IND,KHM,1995,309173682.23,269119848.03,8.4902,FALSE
IND,IDN,1995,76783420.89,68524148.34,7.8853,FALSE
IND,MYS,1995,17786161.88,16076097.56,7.2501,FALSE
IND,MMR,1995,92068639.55,102414848.99,7.9641,FALSE
IND,PHL,1995,223081465.48,201044205.54,8.3485,FALSE
IND,SGP,1995,202295799.2,202891914.5,8.306,FALSE
IND,THA,1995,37704729.03,40779512.81,7.5764,FALSE
IND,VNM,1995,26184718423.1,24359298068.78,10.418,TRUE
IND,USA,1995,481274465.42,420846007.07,8.6824,FALSE
IND,JPN,1995,446739913.65,460877827.45,8.6501,FALSE
IND,DEU,1995,18333196.5,17354936.72,7.2632,FALSE
IND,TWN,1995,128208596.95,122520378.82,8.1079,FALSE
IND,FRA,1995,501027376.95,438923418.89,8.6999,FALSE
IND,GBR,1995,105202772.35,119155025.42,8.022,FALSE
IND,AUS,1995,28944030.55,26713662.29,7.4616,FALSE
IND,BRA,1995,1356223475.8,1631518384.82,9.1323,FALSE
IND,ZAF,1995,266610599.71,249891754.42,8.4259,FALSE
IND,RUS,1995,192237585.12,193158255.49,8.2838,FALSE
IND,CAN,1995,10679785.09,12391073.48,7.0286,FALSE
IND,ITA,1995,74430242.9,82911960.25,7.8717,FALSE
IND,SAU,1995,25465345136.44,30409777140.02,10.4059,TRUE
IND,BGD,1995,373431617.3,327822740.18,8.5722,FALSE
IND,PAK,1995,8887006.66,9433889.67,6.9488,FALSE
IND,NGA,1995,43354589.57,43196183.07,7.637,FALSE
HKG,BRN,1995,236820236.54,288739798.37,8.3744,FALSE
HKG,KHM,1995,330637917.22,286141710.73,8.5194,FALSE
HKG,THA,1995,6313180780.84,6398134940.8,9.8002,FALSE
HKG,CHN,1995,40621585.22,42200701.42,7.6088,FALSE
HKG,USA,1995,48142523.49,58554182.91,7.6825,FALSE
HKG,KOR,1995,150094636.11,132051793.44,8.1764,FALSE
HKG,DEU,1995,18788727.29,18067027.99,7.2739,FALSE
HKG,TWN,1995,412077655.91,398782667.84,8.615,FALSE
HKG,GBR,1995,157717742.67,145145129.33,8.1979,FALSE
HKG,AUS,1995,623135240.19,651073710.67,8.7946,FALSE
HKG,BRA,1995,39335903.61,36130886.39,7.5948,FALSE
HKG,ZAF,1995,12283481.49,14703378.57,7.0893,FALSE
HKG,RUS,1995,2897817073.13,3583248141.22,9.4621,FALSE
HKG,NLD,1995,33218494.58,37837089.28,7.5214,FALSE
HKG,ESP,1995,23840868.4,29126799.89,7.3773,FALSE
HKG,SAU,1995,9985410.87,11991392.08,6.9994,FALSE
HKG,BGD,1995,218460776.27,216916475.81,8.3394,FALSE
HKG,PAK,1995,273053470.16,337372772.45,8.4362,FALSE
HKG,EGY,1995,666593649.38,802063690.76,8.8239,FALSE
HKG,CHL,1995,532669103.5,584516076.83,8.7265,FALSE
TWN,BRN,1995,123549788.99,113280852.14,8.0918,FALSE
TWN,KHM,1995,51703604.53,62097928.83,7.7135,FALSE
TWN,MMR,1995,965904184.43,955989049.12,8.9849,FALSE
TWN,SGP,1995,2730430.51,2786812.99,6.4362,FALSE
TWN,VNM,1995,136041184.95,124546335.12,8.1337,FALSE
TWN,JPN,1995,17698906.7,15177607.36,7.2479,FALSE
TWN,KOR,1995,99269905.73,107503829.29,7.9968,FALSE
TWN,HKG,1995,324684531.34,308387766.2,8.5115,FALSE
TWN,GBR,1995,710180313.68,801220762.1,8.8514,FALSE
TWN,RUS,1995,5875673637.86,5732201823.34,9.7691,FALSE
TWN,CAN,1995,1643241589.46,2026984363.5,9.2157,FALSE
TWN,NLD,1995,315674639.05,353057332.95,8.4992,FALSE
TWN,ITA,1995,186510435.1,189430995.47,8.2707,FALSE
TWN,ESP,1995,89723354.92,84859807.52,7.9529,FALSE
TWN,SAU,1995,372985168.52,346306778.48,8.5717,FALSE
TWN,ARE,1995,13563957.88,16700712.79,7.1324,FALSE
TWN,PAK,1995,27505567.96,24292824.35,7.4394,FALSE
TWN,NGA,1995,173243260.69,179793012.95,8.2387,FALSE
TWN,EGY,1995,710965637.64,810953226.86,8.8518,FALSE
TWN,CHL,1995,49047728.84,52568318.61,7.6906,FALSE
FRA,KHM,1995,765101545.86,874670964.69,8.8837,FALSE
FRA,LAO,1995,71013060.25,61663646.37,7.8513,FALSE
FRA,MYS,1995,2412305708.69,2435310821.37,9.3824,FALSE
FRA,PHL,1995,1571080246.83,1398663166.99,9.1962,FALSE
FRA,SGP,1995,112801403.0,118940590.19,8.0523,FALSE
FRA,VNM,1995,3745031366.03,4324530758.04,9.5735,FALSE
FRA,DEU,1995,769719557.77,906505436.1,8.8863,FALSE
FRA,IND,1995,414687574.51,501584944.59,8.6177,FALSE
FRA,HKG,1995,17859166.25,19594797.54,7.2519,FALSE
FRA,TWN,1995,74104314.61,91437464.61,7.8698,FALSE
FRA,GBR,1995,1294987392.71,1586297993.79,9.1123,FALSE
FRA,AUS,1995,225355073.21,245779965.61,8.3529,FALSE
FRA,BRA,1995,31689332273.12,38561175940.65,10.5009,TRUE
FRA,ZAF,1995,15769314566.56,15466747716.3,10.1978,TRUE
FRA,MEX,1995,501773414.58,605017837.09,8.7005,FALSE
FRA,CAN,1995,180083577.09,212609647.18,8.2555,FALSE
FRA,TUR,1995,369406872.31,417190040.62,8.5675,FALSE
FRA,SAU,1995,303261293.31,355479078.33,8.4818,FALSE
FRA,BGD,1995,139253437.97,142777599.72,8.1438,FALSE
FRA,NGA,1995,309987960.27,314931872.17,8.4913,FALSE
FRA,CHL,1995,2957212783.48,2957741693.58,9.4709,FALSE
GBR,IDN,1995,28492558.37,34273493.4,7.4547,FALSE
GBR,MYS,1995,772973157.39,905630754.0,8.8882,FALSE
GBR,MMR,1995,262642201.53,290641842.81,8.4194,FALSE
GBR,USA,1995,131995869.28,128123787.26,8.1206,FALSE
GBR,KOR,1995,70167090.22,68379047.45,7.8461,FALSE
GBR,DEU,1995,24003832.59,28753264.38,7.3803,FALSE
GBR,IND,1995,18272201080.77,21003301109.42,10.2618,TRUE
GBR,HKG,1995,15816823.13,15266423.55,7.1991,FALSE
GBR,TWN,1995,433619249.99,508269245.08,8.6371,FALSE
GBR,FRA,1995,3823482071.36,3662205069.43,9.5825,FALSE
GBR,BRA,1995,4070361.66,4985609.52,6.6096,FALSE
GBR,MEX,1995,15687200.84,15062506.37,7.1955,FALSE
GBR,CAN,1995,147226870.32,183863778.43,8.168,FALSE
GBR,NLD,1995,383305975.94,445902729.95,8.5835,FALSE
GBR,ESP,1995,2743853.98,3062259.39,6.4384,FALSE
GBR,TUR,1995,1713182359.17,1797182256.09,9.2338,FALSE
GBR,SAU,1995,36032060.29,42107882.35,7.5567,FALSE
GBR,PAK,1995,111041251.44,104562401.71,8.0455,FALSE
GBR,NGA,1995,20519504.55,22018757.46,7.3122,FALSE
GBR,EGY,1995,2006075686.71,1764994550.81,9.3023,FALSE
GBR,ARG,1995,105226140.25,102118644.45,8.0221,FALSE
AUS,BRN,1995,203926829.83,178701190.37,8.3095,FALSE
AUS,KHM,1995,2829989174.37,3094316746.96,9.4518,FALSE
