country_iso3,year,degree_out,degree_in,strength_out,betweenness,community_id,eci
THA,2015,19,20,54378341339.52,0.05682,3,-0.711
THA,2023,17,17,3741568208.81,0.02919,3,0.601
VNM,1995,31,31,3650766743.16,0.00028,2,-1.337
VNM,2005,29,23,31907816938.2,0.04819,4,1.576
VNM,2015,23,14,5357908197.32,0.01377,5,0.333
VNM,2023,29,12,8366678538.15,0.05466,4,0.458
CHN,1995,14,18,27726561223.4,0.0452,3,1.108
CHN,2005,17,30,111300358060.71,0.00498,1,0.207
CHN,2015,28,20,119199023728.49,0.05629,2,1.153
CHN,2023,31,14,33334601827.34,0.05227,3,1.493
USA,1995,25,23,1045515416.16,0.04573,3,-0.496
USA,2005,11,36,108867295877.84,0.0234,4,-0.506
USA,2015,30,27,14660053319.7,0.01979,2,0.245
USA,2023,32,11,80454415766.68,0.05958,3,-0.733
JPN,1995,26,35,2883372056.86,0.02525,3,1.901
JPN,2005,25,26,6689226629.97,0.02191,3,0.498
JPN,2015,15,33,274482619488.24,0.00444,1,-1.739
JPN,2023,33,27,37404742834.97,0.01591,5,0.544
KOR,1995,25,26,11911245287.46,0.05279,4,-1.097
KOR,2005,25,22,2993563526580.18,0.01737,5,-0.708
KOR,2015,29,22,246511435465.46,0.00355,3,-1.447
KOR,2023,34,26,6398569610.37,0.01627,4,-0.713
DEU,1995,36,16,48823794779.95,0.01385,4,0.373
DEU,2005,12,31,59428182891.3,0.01332,1,-2.727
DEU,2015,21,11,7356246823.78,0.01226,1,0.557
DEU,2023,37,18,2585143708.18,0.00946,5,-1.463
IND,1995,20,28,42300236055.66,0.05022,2,-0.322
IND,2005,30,28,103360410293.47,0.01117,5,-0.928
IND,2015,22,20,25279512569.63,0.04055,1,-0.072
IND,2023,27,16,212160836515.55,0.02363,2,0.275
HKG,1995,24,25,65056875232.79,0.02255,1,-0.867
HKG,2005,24,15,1141693751.76,0.04942,3,-0.26
HKG,2015,34,33,2902843689.78,0.02107,2,-1.111
HKG,2023,30,27,125449781676.45,0.03172,3,0.611
TWN,1995,22,11,259850210852.39,0.01669,4,0.662
TWN,2005,12,24,204336505.15,0.05589,3,0.667
TWN,2015,16,24,12986775695.5,0.0274,4,-1.056
TWN,2023,24,30,30139428196.03,0.02323,4,-1.157
FRA,1995,23,22,569555471601.15,0.02624,2,-0.024
FRA,2005,32,11,1731924961.95,0.04492,1,0.504
FRA,2015,24,16,1038362372386.13,0.02889,2,-0.982
FRA,2023,35,23,15737801063.36,0.02283,1,0.01
GBR,1995,26,28,1379626563.95,0.01129,1,0.126
GBR,2005,18,11,2241895721.2,0.03949,1,0.877
GBR,2015,31,16,90830710333.66,0.00577,5,1.473
GBR,2023,14,30,307045110060.47,0.01979,5,-0.04
AUS,1995,19,27,16255312312.34,0.0192,1,-1.341
AUS,2005,36,31,3652930074139.3,0.02417,5,1.396
AUS,2015,21,22,7647003529.84,0.05367,1,0.495
AUS,2023,25,18,471921244.78,0.02952,2,-1.767
BRA,1995,33,25,1297453151975.41,0.00177,4,1.03
BRA,2005,28,25,3432448795.63,0.00505,4,2.235
BRA,2015,22,22,75664987177.42,0.0589,2,-0.927
BRA,2023,25,13,50654769051.62,0.0471,4,-0.778
ZAF,1995,18,16,15402839692.69,0.03975,5,0.049
ZAF,2005,28,24,112991808417.24,0.04265,3,-0.506
ZAF,2015,20,37,11945046409.48,0.03436,4,2.865
ZAF,2023,35,17,23003178214.71,0.00091,5,0.29
RUS,1995,32,26,3536423027.19,0.01332,4,-1.234
RUS,2005,12,33,120586750739.69,0.03783,2,0.234
RUS,2015,30,13,94821379670.77,0.02055,2,-1.695
RUS,2023,26,31,360166398893.34,0.00913,2,-0.327
MEX,1995,25,11,2472836574.46,0.07464,4,-0.359
MEX,2005,28,32,1199277094856.61,0.02267,5,0.839
MEX,2015,26,28,5088893707.18,0.00631,3,0.466
MEX,2023,33,15,1322160352.81,0.01398,1,-0.918
CAN,1995,18,26,4674404288.52,0.02283,5,1.105
CAN,2005,35,20,88644234909.4,0.0136,1,0.063
CAN,2015,13,15,35288730173.91,0.03228,3,-0.238
CAN,2023,32,15,18757038559.78,0.02898,3,-1.066
NLD,1995,35,21,9523687863.28,0.00142,3,0.599
NLD,2005,18,15,2275820746223.06,0.06767,5,-0.737
NLD,2015,22,27,132943790157.98,0.01307,5,0.169
NLD,2023,12,18,130419795942.49,0.02137,2,1.875
ITA,1995,35,30,69570384901.9,0.03115,3,1.878
ITA,2005,12,36,29152186209.95,0.03891,1,-1.015
ITA,2015,11,17,75263345984.31,0.03376,3,-0.661
ITA,2023,13,14,47770339992.82,0.00723,2,-1.039
ESP,1995,23,25,97314562708.4,0.06385,5,2.101
ESP,2005,26,25,214897063912.69,0.01257,1,0.398
ESP,2015,33,28,16770561779.35,0.01231,5,0.718
ESP,2023,19,11,26712018230.67,0.00811,4,0.294
TUR,1995,21,36,2346360041.44,0.00975,4,-0.961
TUR,2005,29,36,3525047381.83,0.01908,3,0.31
TUR,2015,32,29,3895210118.29,0.01693,3,0.197
TUR,2023,29,23,32077213189.29,0.0085,2,0.141
SAU,1995,13,15,1548579161.23,0.06559,4,1.092
SAU,2005,16,12,34253112221.01,0.03838,1,0.512
SAU,2015,28,35,9354192719.68,0.00448,2,1.517
SAU,2023,30,11,74557105130.45,0.01441,1,1.441
ARE,1995,29,29,29980307282.08,0.04477,4,0.15
ARE,2005,20,16,2608101014.44,0.0329,1,0.545
ARE,2015,22,35,150098903408.27,0.04542,5,-1.981
ARE,2023,32,20,60594375036.82,0.02172,5,-0.899
BGD,1995,24,28,129821146930.11,0.01853,1,-0.675
BGD,2005,23,27,1574523188.14,0.00936,3,-0.204
BGD,2015,20,31,36284993775.49,0.07121,4,-1.934
BGD,2023,16,18,26085021820.05,0.03177,4,0.39
PAK,1995,27,27,94097311846.13,0.01017,4,-0.497
PAK,2005,18,36,3203227035.82,0.02845,3,-0.605
PAK,2015,11,36,7482095941.52,0.01417,2,-2.667
PAK,2023,21,36,108978418622.57,0.06033,4,1.841
NGA,1995,18,21,41482414876.22,0.01395,1,1.161
NGA,2005,37,19,40896625902.22,0.04479,2,-0.114
NGA,2015,25,35,12669934013.85,0.0367,5,0.218
NGA,2023,29,36,50956078497.93,0.02174,1,0.178
EGY,1995,36,15,65593572753.43,0.06214,1,1.713
EGY,2005,23,14,157105263590.06,0.09183,2,0.782
EGY,2015,35,16,17531719326.9,0.00263,5,-0.705
EGY,2023,22,17,5044884983.98,0.01868,4,1.194
CHL,1995,19,28,53845891007.63,0.01415,4,1.321
CHL,2005,13,19,250281493142.79,0.02357,4,-1.115
CHL,2015,12,14,114943246592.07,0.00663,4,-1.107
CHL,2023,30,16,86090181121.37,0.02211,1,0.704
ARG,1995,21,19,7786113697.22,0.0411,4,0.299
ARG,2005,11,26,38424748059.39,0.03436,2,-0.066
ARG,2015,34,32,13415988997.15,0.01249,3,-0.251
ARG,2023,15,22,18597190425.54,0.05899,5,0.352
